OWASP Top 10:2021 applicability scan — SH-1174 / TC-70 / TR-036, PR #2567 (Veevarts/AuctiferaDX, head f3b892c702a3189acedef26a3b9e108618c71abd)

| ID  | Risk                        | Applicable | Check method                                          | Verdict | Evidence / Justification |
|-----|-----------------------------|------------|--------------------------------------------------------|---------|---------------------------|
| A01 | Broken Access Control       | Yes        | Queried FieldPermissions in AuctiferaDX__sh890 for the 3 new Item_Cost_History__c fields | PASS | New fields are default-restrictive (no permission-set metadata shipped in the PR's own diff); the "Veevart" permission set in this org already grants Read (likely a manual grant from the dev's own validation, not part of the PR). No access-control WEAKENING introduced — fails safe, not exploitable. Flagged as a packaging gap (see regression-plan.txt), not a vulnerability. |
| A02 | Cryptographic Failures      | No         | -                                                      | N/A     | No credential/PII/encryption surface touched by this PR |
| A03 | Injection                   | Yes        | grep on the authoritative `gh pr diff 2567` content for string-concatenated SOQL | PASS    | All SOQL in LandedCostAllocator/ItemCostHistoryService/PurchaseOrderTriggerHandler use static queries with bind variables (`:linesByPurchaseOrderId.keySet()`, `:uncachedPurchaseOrderIds`, `:purchaseOrderIds`) — no concatenation |
| A04 | Insecure Design             | Yes        | Design review of LandedCostAllocator's proration rules against the ticket's locked spec | PASS    | Allocation algorithm (by-value, fallback by-quantity, exact reconciliation, backward-compat null override) matches the story's design; internal calculation only, no new endpoint or rate-limiting/abuse surface. NOTE: a real functional defect exists in the re-prorate-after-receipt path (SH-1182) but it is a correctness bug, not an insecure-design/abuse-vector issue — tracked separately, not double-counted here. |
| A05 | Security Misconfiguration   | No         | -                                                      | N/A     | No infra/env/config files touched |
| A06 | Vulnerable Components       | No         | -                                                      | N/A     | No dependency/package.json changes in this PR's actual diff (an earlier local `git diff` against a stale `main` ref falsely suggested package.json changes; corrected against the authoritative PR diff) |
| A07 | Authentication Failures     | No         | -                                                      | N/A     | No auth/session/login surface touched |
| A08 | Software/Data Integrity     | No         | -                                                      | N/A     | No CI/CD or deserialization surface touched |
| A09 | Logging Failures            | No         | -                                                      | N/A     | No logging changes; no PII in scope (cost/currency data only) |
| A10 | SSRF                        | No         | -                                                      | N/A     | No outbound HTTP calls introduced |

Summary: 4 applicable (A01, A03, A04), all PASS. 6 N/A with justification. No Applicable+FAIL items — no security-origin defect required. The one confirmed defect (SH-1182) is a functional correctness bug, filed as a Bug, not routed through this OWASP scan.
