OWASP Top 10:2021 applicability scan — SH-844 Discount Engine (VeevartBackend@main)
| ID  | Risk | Applicable | Verdict | Evidence / Justification |
| A01 | Broken Access Control | Yes | PASS | Tenant identity from verified Cognito JWT claim (tenant-id.decorator.ts:27-67); missing tenant/token -> 401 (stub-cognito-token.validator.ts:36-53). BUG-001 cross-tenant leak RESOLVED by SH-866. Body tenantId ignored (server-authoritative). |
| A02 | Cryptographic Failures | No | N/A | No credential/PII-at-rest or crypto algorithm handling introduced in the discount engine; auth tokens are Cognito-managed. |
| A03 | Injection | Yes | PASS | Persistence via TypeORM (parameterized) + DynamoDB SDK (typed params); no string-concatenated SQL. Request DTOs validated by class-validator with whitelist+forbidNonWhitelisted in the production build (metatype emitted by tsc). |
| A04 | Insecure Design | Yes | PASS(w/ note) | Business logic is guard-driven (~14 authoring guards) + 9-stage eval pipeline, well tested. Note: no structured envelope for unexpected internal errors (TC-5.5) -> hardening item, not exploitable. |
| A05 | Security Misconfiguration | No | N/A | No infra/env/CORS/security-header changes in scope of this validation. |
| A06 | Vulnerable & Outdated Components | No | N/A | No dependency change under review (validating merged code, not a PR diff). |
| A07 | Identification & Authentication Failures | Yes | PASS | Auth via Cognito JWT validator (prod) / stub validator (dev); no credentials in URLs; tenant bound to verified claim. |
| A08 | Software & Data Integrity Failures | No | N/A | No deserialization of untrusted data / plugin-update/CI signing surface in the engine. |
| A09 | Security Logging & Monitoring Failures | Yes | PASS(w/ note) | Field-level audit persisted to field_history_records; usage events append-only. Note: no History read/exposure endpoint yet (TC-7.2). No PII in logs observed. |
| A10 | SSRF | No | N/A | No server-side user-influenced outbound HTTP in the discount engine. |

Result: 6 Applicable · 6 PASS · 0 FAIL · 4 N/A. No Applicable+FAIL. No security blocker.
